--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
voltage, v_delta, correction
437, 18, 1
439, 16, 1
441, 14, 1
461, -6, 0
441, 14, 1
445, 10, 1
448, 7, 0
453, 2, 0
464, -9, 0
464, -9, 0
446, 9, 0
450, 5, 0
454, 1, 0
464, -9, 0
451, 4, 0
455, 0, 0
465, -10, -1
451, 4, 0
465, -10, -1
465, -10, -1
448, 7, 0
465, -10, -1
464, -9, 0
444, 11, 1
464, -9, 0
464, -9, 0
441, 14, 1
463, -8, 0
440, 15, 1
442, 13, 1
463, -8, 0
463, -8, 0
440, 15, 1
462, -7, 0
440, 15, 1
462, -7, 0
462, -7, 0
462, -7, 0
461, -6, 0
446, 9, 0
460, -5, 0
445, 10, 1
459, -4, 0
459, -4, 0
458, -3, 0
454, 1, 0
457, -2, 0
453, 2, 0
456, -1, 0
452, 3, 0
452, 3, 0
456, -1, 0
452, 3, 0
451, 4, 0
455, 0, 0
440, 15, 1
456, -1, 0
456, -1, 0
457, -2, 0
432, 23, 2
457, -2, 0
434, 21, 2
458, -3, 0
459, -4, 0
435, 20, 2
437, 18, 1
440, 15, 1
443, 12, 1
461, -6, 0
462, -7, 0
442, 13, 1
462, -7, 0
462, -7, 0
462, -7, 0
462, -7, 0
461, -6, 0
447, 8, 0
460, -5, 0
460, -5, 0
455, 0, 0
454, 1, 0
457, -2, 0
453, 2, 0
453, 2, 0
452, 3, 0
452, 3, 0
452, 3, 0
456, -1, 0
452, 3, 0
451, 4, 0
440, 15, 1
430, 25, 2
456, -1, 0
457, -2, 0
434, 21, 2
436, 19, 1
439, 16, 1
443, 12, 1
447, 8, 0
461, -6, 0
462, -7, 0
445, 10, 1
463, -8, 0
463, -8, 0
443, 12, 1
446, 9, 0
463, -8, 0
464, -9, 0
463, -8, 0
463, -8, 0
438, 17, 1
462, -7, 0
462, -7, 0
437, 18, 1
437, 18, 1
439, 16, 1
441, 14, 1
461, -6, 0
461, -6, 0
439, 16, 1
462, -7, 0
439, 16, 1
462, -7, 0
462, -7, 0
461, -6, 0
436, 19, 1
436, 19, 1
439, 16, 1
441, 14, 1
444, 11, 1
448, 7, 0
463, -8, 0
449, 6, 0
463, -8, 0
450, 5, 0
464, -9, 0
450, 5, 0
454, 1, 0
465, -10, -1
465, -10, -1
447, 8, 0
451, 4, 0
454, 1, 0
455, 0, 0
455, 0, 0
455, 0, 0
465, -10, -1
451, 4, 0
465, -10, -1
451, 4, 0
455, 0, 0
465, -10, -1
451, 4, 0
465, -10, -1
466, -11, -1
448, 7, 0
465, -10, -1
465, -10, -1
464, -9, 0
442, 13, 1
443, 12, 1
463, -8, 0
443, 12, 1
446, 9, 0
463, -8, 0
446, 9, 0
464, -9, 0
447, 8, 0
450, 5, 0
454, 1, 0
464, -9, 0
465, -10, -1
447, 8, 0
451, 4, 0
465, -10, -1
465, -10, -1
447, 8, 0
450, 5, 0
464, -9, 0
465, -10, -1
465, -10, -1
464, -9, 0
464, -9, 0
463, -8, 0
463, -8, 0
448, 7, 0
436, 19, 1
436, 19, 1
460, -5, 0
460, -5, 0
460, -5, 0
446, 9, 0
459, -4, 0
459, -4, 0
458, -3, 0
458, -3, 0
457, -2, 0
453, 2, 0
452, 3, 0
452, 3, 0
452, 3, 0
452, 3, 0
452, 3, 0
455, 0, 0
455, 0, 0
455, 0, 0
455, 0, 0
451, 4, 0
440, 15, 1
430, 25, 2
456, -1, 0
433, 22, 2
436, 19, 1
438, 17, 1
443, 12, 1
447, 8, 0
461, -6, 0
448, 7, 0
453, 2, 0
453, 2, 0
454, 1, 0
454, 1, 0
464, -9, 0
450, 5, 0
455, 0, 0
455, 0, 0
455, 0, 0
465, -10, -1
465, -10, -1
465, -10, -1
464, -9, 0
442, 13, 1
443, 12, 1
463, -8, 0
463, -8, 0
441, 14, 1
442, 13, 1
463, -8, 0
443, 12, 1
463, -8, 0
443, 12, 1
446, 9, 0
449, 6, 0
453, 2, 0
454, 1, 0
464, -9, 0
451, 4, 0
465, -10, -1
451, 4, 0
455, 0, 0
465, -10, -1
465, -10, -1
465, -10, -1
444, 11, 1
447, 8, 0
450, 5, 0
454, 1, 0
465, -10, -1
451, 4, 0
455, 0, 0
465, -10, -1
465, -10, -1
465, -10, -1
445, 10, 1
447, 8, 0
450, 5, 0
455, 0, 0
455, 0, 0
455, 0, 0
455, 0, 0
455, 0, 0
465, -10, -1
465, -10, -1
448, 7, 0
451, 4, 0
465, -10, -1
451, 4, 0
465, -10, -1
465, -10, -1
465, -10, -1
444, 11, 1
447, 8, 0
450, 5, 0
454, 1, 0
455, 0, 0
465, -10, -1
451, 4, 0
455, 0, 0
455, 0, 0
465, -10, -1
465, -10, -1
448, 7, 0
451, 4, 0
455, 0, 0
465, -10, -1
451, 4, 0
465, -10, -1
465, -10, -1
465, -10, -1
465, -10, -1
442, 13, 1
464, -9, 0
463, -8, 0
439, 16, 1
440, 15, 1
462, -7, 0
440, 15, 1
442, 13, 1
445, 10, 1
449, 6, 0
463, -8, 0
463, -8, 0
464, -9, 0
444, 11, 1
446, 9, 0
464, -9, 0
464, -9, 0
464, -9, 0
463, -8, 0
439, 16, 1
462, -7, 0
